Time,THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Heat Load [W],THERMAL ZONE 2::Des Latent Cool Load [W],THERMAL ZONE 2::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Heat Load No DOAS [W],THERMAL ZONE 2::Des Sens Cool Load No DOAS [W],THERMAL ZONE 2::Des Latent Heat Load No DOAS [W],THERMAL ZONE 2::Des Latent Cool Load No DOAS [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Heat Load [W],THERMAL ZONE 3::Des Latent Cool Load [W],THERMAL ZONE 3::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Heat Load No DOAS [W],THERMAL ZONE 3::Des Sens Cool Load No DOAS [W],THERMAL ZONE 3::Des Latent Heat Load No DOAS [W],THERMAL ZONE 3::Des Latent Cool Load No DOAS [W],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4::Des Latent Heat Load [W],THERMAL ZONE 4::Des Latent Cool Load [W],THERMAL ZONE 4::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 4::Des Heat Load No DOAS [W],THERMAL ZONE 4::Des Sens Cool Load No DOAS [W],THERMAL ZONE 4::Des Latent Heat Load No DOAS [W],THERMAL ZONE 4::Des Latent Cool Load No DOAS [W],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5::Des Latent Heat Load [W],THERMAL ZONE 5::Des Latent Cool Load [W],THERMAL ZONE 5::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 5::Des Heat Load No DOAS [W],THERMAL ZONE 5::Des Sens Cool Load No DOAS [W],THERMAL ZONE 5::Des Latent Heat Load No DOAS [W],THERMAL ZONE 5::Des Latent Cool Load No DOAS [W],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,4.241241E+03,1.013029E+03,3.606514E-01,9.277879E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.830247E+01,5.220325E+01,2.669766E+01,4.491779E+01,7.116735E+03,5.235570E+02,5.157223E-01,4.794604E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.830273E+01,5.241817E+01,2.669852E+01,4.820889E+01,2.505972E+03,1.261083E+03,2.579228E-01,9.732522E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.832213E+01,5.448518E+01,2.669498E+01,4.309484E+01,1.741109E+03,4.647907E+01,2.268120E-01,5.237402E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.831480E+01,5.428733E+01,2.669935E+01,5.037565E+01,1.329166E+03,4.225962E+01,1.731276E-01,4.762125E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.830668E+01,5.501986E+01,2.669945E+01,4.895197E+01
00:20:00,4.245242E+03,1.026651E+03,3.587134E-01,9.402791E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.805142E+01,5.272244E+01,2.669766E+01,4.486739E+01,7.116316E+03,5.721669E+02,5.129308E-01,5.239834E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.805100E+01,5.296181E+01,2.669848E+01,4.810143E+01,2.502070E+03,1.255422E+03,2.556461E-01,9.689059E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.806572E+01,5.509144E+01,2.669507E+01,4.289871E+01,1.742166E+03,5.907093E+01,2.248301E-01,6.655583E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.806047E+01,5.481848E+01,2.669932E+01,5.036540E+01,1.332644E+03,5.432025E+01,1.719219E-01,6.120461E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.805536E+01,5.558725E+01,2.669941E+01,4.905064E+01
00:30:00,4.216828E+03,1.035615E+03,3.540490E-01,9.484939E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804149E+01,5.266069E+01,2.669767E+01,4.481380E+01,7.074375E+03,6.004163E+02,5.071334E-01,5.498601E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804081E+01,5.289638E+01,2.669844E+01,4.797895E+01,2.488540E+03,1.248637E+03,2.523328E-01,9.636702E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804732E+01,5.508619E+01,2.669528E+01,4.268748E+01,1.730306E+03,6.759398E+01,2.211699E-01,7.612827E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804648E+01,5.477301E+01,2.669927E+01,5.028760E+01,1.321850E+03,6.421210E+01,1.689022E-01,7.231866E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804552E+01,5.552909E+01,2.669935E+01,4.906110E+01
00:40:00,4.194089E+03,1.040785E+03,3.498243E-01,9.532317E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803941E+01,5.262081E+01,2.669768E+01,4.477125E+01,7.039766E+03,6.203272E+02,5.018160E-01,5.680985E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803871E+01,5.286251E+01,2.669843E+01,4.786444E+01,2.476601E+03,1.240883E+03,2.491426E-01,9.576801E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804149E+01,5.509048E+01,2.669553E+01,4.256768E+01,1.720499E+03,7.271398E+01,2.177272E-01,8.189508E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804248E+01,5.475220E+01,2.669924E+01,5.018844E+01,1.313527E+03,6.908789E+01,1.661627E-01,7.781040E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804315E+01,5.549086E+01,2.669932E+01,4.902877E+01
00:50:00,4.172213E+03,1.042875E+03,3.456543E-01,9.551467E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803885E+01,5.264886E+01,2.669769E+01,4.474365E+01,7.006298E+03,6.334952E+02,4.965565E-01,5.801605E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803816E+01,5.290380E+01,2.669842E+01,4.776827E+01,2.465255E+03,1.232380E+03,2.459949E-01,9.511089E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803962E+01,5.513018E+01,2.669571E+01,4.253225E+01,1.711106E+03,7.647308E+01,2.143150E-01,8.612931E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804129E+01,5.479409E+01,2.669923E+01,5.009272E+01,1.305546E+03,7.363414E+01,1.634496E-01,8.293107E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804251E+01,5.551928E+01,2.669929E+01,4.898018E+01
01:00:00,4.150407E+03,1.042514E+03,3.414787E-01,9.548154E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803871E+01,5.270189E+01,2.669770E+01,4.472907E+01,6.972869E+03,6.413687E+02,4.912835E-01,5.873727E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803803E+01,5.296778E+01,2.669843E+01,4.769279E+01,2.454048E+03,1.223292E+03,2.428517E-01,9.440845E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803904E+01,5.516964E+01,2.669579E+01,4.253745E+01,1.701725E+03,7.821320E+01,2.108903E-01,8.808953E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804094E+01,5.485102E+01,2.669922E+01,5.001060E+01,1.297572E+03,7.597894E+01,1.607256E-01,8.557237E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804234E+01,5.557344E+01,2.669928E+01,4.892818E+01
01:10:00,4.201875E+03,1.042094E+03,3.445778E-01,9.544297E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803869E+01,5.275013E+01,2.669772E+01,4.472456E+01,7.054234E+03,6.480272E+02,4.955777E-01,5.934713E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803803E+01,5.302218E+01,2.669844E+01,4.763741E+01,2.479025E+03,1.218571E+03,2.442179E-01,9.404312E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803887E+01,5.519616E+01,2.669582E+01,4.255232E+01,1.726564E+03,8.005160E+01,2.128577E-01,9.016026E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804086E+01,5.489623E+01,2.669923E+01,4.994637E+01,1.319973E+03,7.841094E+01,1.627272E-01,8.831170E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804231E+01,5.562318E+01,2.669928E+01,4.887984E+01
01:20:00,4.198994E+03,1.040291E+03,3.442795E-01,9.527779E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803870E+01,5.278638E+01,2.669772E+01,4.472602E+01,7.066045E+03,6.515295E+02,4.963303E-01,5.966791E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803804E+01,5.306165E+01,2.669844E+01,4.759756E+01,2.481730E+03,1.213745E+03,2.443737E-01,9.366970E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803882E+01,5.521385E+01,2.669583E+01,4.256492E+01,1.727549E+03,8.094187E+01,2.128904E-01,9.116310E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804085E+01,5.492809E+01,2.669923E+01,4.989765E+01,1.318817E+03,7.991423E+01,1.625392E-01,9.000503E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804232E+01,5.566080E+01,2.669928E+01,4.883677E+01
01:30:00,4.224484E+03,1.037354E+03,3.463563E-01,9.500871E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803871E+01,5.281354E+01,2.669773E+01,4.473140E+01,7.111291E+03,6.524334E+02,4.994923E-01,5.975068E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803806E+01,5.309109E+01,2.669845E+01,4.757046E+01,2.492259E+03,1.208819E+03,2.453759E-01,9.328890E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803881E+01,5.522777E+01,2.669584E+01,4.257489E+01,1.739416E+03,8.106275E+01,2.143280E-01,9.129929E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804085E+01,5.495226E+01,2.669924E+01,4.986325E+01,1.330101E+03,8.065764E+01,1.639193E-01,9.084243E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804232E+01,5.568899E+01,2.669928E+01,4.880062E+01
01:40:00,4.241068E+03,1.033550E+03,3.477127E-01,9.466021E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803872E+01,5.283565E+01,2.669774E+01,4.474006E+01,7.142766E+03,6.512884E+02,5.016993E-01,5.964578E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803807E+01,5.311527E+01,2.669847E+01,4.755478E+01,2.499756E+03,1.203851E+03,2.461031E-01,9.290507E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803881E+01,5.523990E+01,2.669585E+01,4.258453E+01,1.747619E+03,8.058664E+01,2.153315E-01,9.076304E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804086E+01,5.497281E+01,2.669925E+01,4.984301E+01,1.337471E+03,8.080615E+01,1.648248E-01,9.100974E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804233E+01,5.571192E+01,2.669929E+01,4.877304E+01
