Time,THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Heat Load [W],THERMAL ZONE 2::Des Latent Cool Load [W],THERMAL ZONE 2::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Heat Load No DOAS [W],THERMAL ZONE 2::Des Sens Cool Load No DOAS [W],THERMAL ZONE 2::Des Latent Heat Load No DOAS [W],THERMAL ZONE 2::Des Latent Cool Load No DOAS [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Heat Load [W],THERMAL ZONE 3::Des Latent Cool Load [W],THERMAL ZONE 3::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Heat Load No DOAS [W],THERMAL ZONE 3::Des Sens Cool Load No DOAS [W],THERMAL ZONE 3::Des Latent Heat Load No DOAS [W],THERMAL ZONE 3::Des Latent Cool Load No DOAS [W],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,7.357434E+03,8.127329E+02,3.349844E-01,6.270872E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.828815E+01,4.804069E+01,2.669796E+01,4.780400E+01,1.151448E+04,1.076514E+03,5.242529E-01,8.306195E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.829034E+01,4.835355E+01,2.669787E+01,4.829268E+01,2.210899E+03,2.092347E+02,1.006677E-01,1.614386E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.829099E+01,5.007087E+01,2.669830E+01,4.737591E+01
00:20:00,7.362181E+03,8.550615E+02,3.340493E-01,6.597552E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804253E+01,4.849495E+01,2.669791E+01,4.770061E+01,1.151371E+04,1.143593E+03,5.224300E-01,8.823879E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804292E+01,4.880796E+01,2.669781E+01,4.814323E+01,2.210218E+03,2.122628E+02,1.002908E-01,1.637764E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.804400E+01,5.060883E+01,2.669829E+01,4.739438E+01
00:30:00,7.317605E+03,8.840677E+02,3.308811E-01,6.821428E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803555E+01,4.838972E+01,2.669788E+01,4.758963E+01,1.145145E+04,1.189724E+03,5.178097E-01,9.179926E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803489E+01,4.870603E+01,2.669776E+01,4.799790E+01,2.196603E+03,2.134570E+02,9.932820E-02,1.646986E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803638E+01,5.053810E+01,2.669829E+01,4.739247E+01
00:40:00,7.282199E+03,9.050521E+02,3.281095E-01,6.983388E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803479E+01,4.832488E+01,2.669788E+01,4.748858E+01,1.140045E+04,1.222718E+03,5.136715E-01,9.434574E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803380E+01,4.865299E+01,2.669773E+01,4.787415E+01,2.185588E+03,2.132453E+02,9.847891E-02,1.645357E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803538E+01,5.048557E+01,2.669829E+01,4.738986E+01
00:50:00,7.247534E+03,9.198743E+02,3.253610E-01,7.097783E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803448E+01,4.835880E+01,2.669788E+01,4.740408E+01,1.135049E+04,1.245271E+03,5.095640E-01,9.608650E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803345E+01,4.870188E+01,2.669771E+01,4.777714E+01,2.174981E+03,2.119066E+02,9.764591E-02,1.635030E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803507E+01,5.050223E+01,2.669831E+01,4.739536E+01
01:00:00,7.212688E+03,9.300582E+02,3.225967E-01,7.176377E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803440E+01,4.843680E+01,2.669789E+01,4.733641E+01,1.130024E+04,1.259866E+03,5.054320E-01,9.721296E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803337E+01,4.878797E+01,2.669771E+01,4.770468E+01,2.164478E+03,2.096892E+02,9.681621E-02,1.617921E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803499E+01,5.054930E+01,2.669833E+01,4.741099E+01
01:10:00,7.296595E+03,9.396962E+02,3.257857E-01,7.250749E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803440E+01,4.851622E+01,2.669790E+01,4.728426E+01,1.142255E+04,1.272791E+03,5.099886E-01,9.821046E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803339E+01,4.886731E+01,2.669772E+01,4.765276E+01,2.185308E+03,2.075529E+02,9.757530E-02,1.601437E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803499E+01,5.059712E+01,2.669836E+01,4.743654E+01
01:20:00,7.310961E+03,9.466103E+02,3.264070E-01,7.304099E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803443E+01,4.858152E+01,2.669790E+01,4.724397E+01,1.145565E+04,1.281083E+03,5.114295E-01,9.885039E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803341E+01,4.892834E+01,2.669772E+01,4.761496E+01,2.185423E+03,2.049710E+02,9.757369E-02,1.581514E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803500E+01,5.063538E+01,2.669838E+01,4.746862E+01
01:30:00,7.365047E+03,9.508056E+02,3.288190E-01,7.336468E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803445E+01,4.863266E+01,2.669791E+01,4.721357E+01,1.153538E+04,1.285748E+03,5.149836E-01,9.921036E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803344E+01,4.897471E+01,2.669773E+01,4.758757E+01,2.196672E+03,2.020439E+02,9.807497E-02,1.558926E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803502E+01,5.066439E+01,2.669840E+01,4.750533E+01
01:40:00,7.402257E+03,9.527624E+02,3.304795E-01,7.351563E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803446E+01,4.867403E+01,2.669792E+01,4.719221E+01,1.159199E+04,1.287643E+03,5.175094E-01,9.935657E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803345E+01,4.901229E+01,2.669774E+01,4.756912E+01,2.203885E+03,1.988705E+02,9.839674E-02,1.534439E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803503E+01,5.068732E+01,2.669842E+01,4.754629E+01
01:50:00,7.432297E+03,9.527856E+02,3.318206E-01,7.351737E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803448E+01,4.870858E+01,2.669793E+01,4.717943E+01,1.163765E+04,1.287230E+03,5.195479E-01,9.932461E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803347E+01,4.904399E+01,2.669776E+01,4.755905E+01,2.209516E+03,1.955204E+02,9.864812E-02,1.508588E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803504E+01,5.070624E+01,2.669844E+01,4.759173E+01
02:00:00,7.457329E+03,9.512016E+02,3.329384E-01,7.339509E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803449E+01,4.873797E+01,2.669795E+01,4.717470E+01,1.167558E+04,1.284905E+03,5.212416E-01,9.914517E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803348E+01,4.907101E+01,2.669777E+01,4.755687E+01,2.214124E+03,1.920620E+02,9.885391E-02,1.481901E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803505E+01,5.072223E+01,2.669847E+01,4.764182E+01
02:10:00,7.478262E+03,9.479868E+02,3.338732E-01,7.314697E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803450E+01,4.876293E+01,2.669797E+01,4.717746E+01,1.170720E+04,1.280483E+03,5.226536E-01,9.880387E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803349E+01,4.909384E+01,2.669778E+01,4.756207E+01,2.217916E+03,1.884456E+02,9.902324E-02,1.453995E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803505E+01,5.073572E+01,2.669849E+01,4.769661E+01
