Site Outdoor Air Drybulb Temperature,Zone Windows Total Heat Gain Energy,Zone Air Relative Humidity,Zone Mechanical Ventilation Mass Flow Rate,Zone Thermostat Cooling Setpoint Temperature,Electricity_Zone_1
14.0,0.0,62.19474698013923,0.0,24.0,0.0
12.8,0.0,60.56050539317576,0.0,24.0,1618086.9861739753
12.0,0.0,57.132366944870206,0.0,24.0,1618086.9861739753
11.6,0.0,55.56690859676989,0.0,24.0,1618086.9861739753
11.5,0.0,51.813723411068004,0.0,24.0,1618086.9861739753
11.8,0.0,52.81820350033064,0.0,24.0,1618086.9861739753
12.4,0.0,53.97863330942671,0.0,24.0,1737010.9740219507
13.3,1633921.599393188,49.65658896024138,0.0,24.0,1737010.9740219507
14.1,1407103.460259319,59.02914486990951,0.0,24.0,2212706.9254138526
14.7,3806439.730020276,61.20472437423269,3.5801392763825985,24.0,5513748.527497057
15.3,3718046.944102064,65.31212817701363,22.674215417089794,24.0,5513748.527497057
16.0,3090661.6002452793,69.45592666200208,13.604529250253881,24.0,5513748.527497057
17.1,1955062.265500847,69.79334571102041,34.01132312563469,24.0,5513748.527497057
18.9,1869468.49791708,71.23913557556621,68.02264625126938,24.0,5138957.777915558
21.4,3822510.022032139,73.77170800516133,68.02264625126939,24.0,5513748.527497057
23.6,6005325.045701646,76.0584519032394,68.02264625126936,24.0,5513748.527497057
23.3,7362451.573059272,78.43859451875362,68.0226462512694,24.0,5513748.527497057
22.5,7801304.305061563,80.24915118268244,68.02264625126938,24.0,5513748.527497057
21.5,6411775.174131363,81.41171924374976,68.02264625126938,24.0,4663261.826523656
20.4,2294896.698034543,82.63915629386923,68.02264625126938,24.0,3437984.375968754
19.6,0.0,83.94031265076711,68.02264625126938,24.0,3437984.375968754
19.2,0.0,72.09361768111816,4.878601667301004,24.0,2587497.674995352
19.0,0.0,72.98478604863735,0.0,24.0,2587497.674995352
18.8,0.0,63.79631387202609,0.0,24.0,1737010.9740219507
18.4,0.0,62.58022266495722,0.0,24.0,1618086.9861739753
17.5,0.0,57.64107901065898,0.0,24.0,1618086.9861739753
16.0,0.0,54.59192315740695,0.0,24.0,1618086.9861739753
13.9,0.0,51.16177675543815,0.0,24.0,1618086.9861739753
12.8,0.0,47.43064374754046,0.0,24.0,1618086.9861739753
13.5,0.0,43.94737347922371,0.0,24.0,1618086.9861739753
15.3,0.0,41.3272924002931,0.0,24.0,1737010.9740219507
17.5,0.0,38.804836319837484,0.0,24.0,1737010.9740219507
19.4,742794.8851446741,46.465681649983686,0.0,24.0,2212706.9254138526
20.6,3957462.972339405,45.00412776524493,3.4011323125634667,24.0,5513748.527497057
21.1,3995566.9178702156,46.0117623680537,17.005661562817394,24.0,5513748.527497057
21.4,3589191.3757026293,46.32122288795989,68.02264625126922,24.0,5513748.527497057
21.6,2448963.147432312,47.01474062872749,34.01132312563469,24.0,5513748.527497057
22.0,2217237.8638412855,47.5188100584591,68.02264625126945,24.0,5138957.777915558
23.1,4086826.336137201,47.88531918040219,68.02264625126945,24.0,5513748.527497057
24.2,5966738.749616349,48.14413307647015,68.02264625126938,24.0,5513748.527497057
23.9,7538139.820263523,48.33033237848327,68.02264625126944,24.0,5513748.527497057
23.1,8085512.152365222,48.37108219531029,68.02264625126938,24.0,5513748.527497057
22.2,7018943.372217888,48.917839348595095,68.02264625126944,24.0,4663261.826523656
21.4,2988551.031616716,50.688816619982305,68.02264625126938,24.0,3437984.375968754
21.0,0.0,52.76372778160135,68.02264625126931,24.0,3437984.375968754
21.0,0.0,52.84627174817616,68.02264625126959,24.0,2587497.674995352
20.8,0.0,54.31929206715624,0.0,24.0,2587497.674995352
20.3,0.0,55.24309693583408,0.0,24.0,1737010.9740219507
19.6,0.0,55.55124630769237,0.0,24.0,1618086.9861739753
18.7,0.0,55.72949381042014,0.0,24.0,1243296.236592475
17.8,0.0,55.83001826597421,0.0,24.0,1243296.236592475
16.9,0.0,56.12628699136229,0.0,24.0,1243296.236592475
16.0,0.0,58.05332200785757,0.0,24.0,1243296.236592475
15.3,0.0,60.23557203909142,0.0,24.0,1243296.236592475
14.7,0.0,62.43551378183637,0.0,24.0,1243296.236592475
14.3,0.0,58.984475408354406,0.0,24.0,1737010.9740219507
14.1,0.0,62.77086870236782,0.0,24.0,1737010.9740219507
14.2,403332.20568840543,64.21517703336123,3.401132312563469,24.0,3063193.626387254
14.5,758918.0526666371,67.00307183374657,34.01132312563469,24.0,3063193.626387254
15.0,1149266.0142080553,66.71698445179014,68.02264625126938,24.0,3063193.626387254
15.6,1521506.7717894104,66.55409059748098,68.02264625126938,24.0,3063193.626387254
16.2,1713982.9416963106,65.9605907901357,34.01132312563469,24.0,3063193.626387254
16.7,1702303.6004204792,65.23559845720962,34.011323125634696,24.0,3063193.626387254
17.1,1527004.4030640956,66.45013886455517,22.674215417089794,24.0,1668539.587079176
17.4,1235504.1105375378,65.76856204730552,68.02264625126938,24.0,1668539.587079176
17.5,878464.0561708015,64.90022398089059,68.02264625126938,24.0,1668539.587079176
17.5,351432.32184071967,64.09686016011977,22.674215417089794,24.0,1243296.236592475
17.2,34206.294594643026,62.67514935690962,17.005661562817345,24.0,1243296.236592475
16.8,52215.1089702362,62.10662979922908,17.005661562817345,24.0,1243296.236592475
16.2,0.0,64.189623907249,22.674215417089794,24.0,1243296.236592475
15.3,0.0,65.86022858182001,0.0,24.0,1243296.236592475
14.4,0.0,67.41991268394817,0.0,24.0,1243296.236592475
13.4,0.0,68.830278300324,0.0,24.0,1243296.236592475
12.3,0.0,69.48366401039877,0.0,24.0,1243296.236592475
11.2,0.0,69.54278542134982,0.0,24.0,1243296.236592475
10.2,0.0,68.8588333301138,0.0,24.0,1243296.236592475
9.8,0.0,67.4001132486687,0.0,24.0,1243296.236592475
10.4,0.0,66.50111821527081,0.0,24.0,1243296.236592475
11.8,0.0,65.53151170365757,0.0,24.0,1243296.236592475
13.7,0.0,65.97516781406888,0.0,24.0,1243296.236592475
15.6,2650192.746135034,66.06832493208663,0.0,24.0,1243296.236592475
17.1,1472948.3592217139,67.58764046327472,17.005661562817345,24.0,1243296.236592475
18.3,4241784.214928151,66.69545048805374,17.005661562817345,24.0,1243296.236592475
19.2,2909248.1710024667,64.14169329531663,17.005661562817345,24.0,1243296.236592475
19.9,2908545.7751811896,60.235245595609285,22.674215417089794,24.0,1243296.236592475
20.5,3335871.1789601436,55.78541223944201,22.674215417089794,24.0,1243296.236592475
21.1,4174274.946865483,52.51654728451038,34.01132312563469,24.0,1243296.236592475
21.5,7210300.597076248,49.78539657380818,22.674215417089794,24.0,1243296.236592475
21.3,8506262.572603121,48.83561378471194,22.674215417089794,24.0,1243296.236592475
20.7,7652813.59583158,49.41767747532445,34.01132312563469,24.0,1243296.236592475
19.9,7099978.16628264,51.01946018437561,68.02264625126938,24.0,1243296.236592475
19.0,2774382.746570551,54.58557653607479,34.01132312563469,24.0,1243296.236592475
18.2,0.0,59.17795126208315,17.005661562817345,24.0,1243296.236592475
17.6,0.0,62.39457324871749,22.674215417089794,24.0,1243296.236592475
17.2,0.0,65.29720138619567,0.0,24.0,1243296.236592475
16.9,0.0,67.41395865542377,0.0,24.0,1243296.236592475
16.5,0.0,68.99875252419052,0.0,24.0,1243296.236592475
16.1,0.0,68.6865175854558,0.0,24.0,1618086.9861739753
15.5,0.0,68.97853979817538,0.0,24.0,1618086.9861739753
