Time,THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Heat Load [W],THERMAL ZONE 2::Des Latent Cool Load [W],THERMAL ZONE 2::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 2::Des Heat Load No DOAS [W],THERMAL ZONE 2::Des Sens Cool Load No DOAS [W],THERMAL ZONE 2::Des Latent Heat Load No DOAS [W],THERMAL ZONE 2::Des Latent Cool Load No DOAS [W],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 2:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Heat Load [W],THERMAL ZONE 3::Des Latent Cool Load [W],THERMAL ZONE 3::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 3::Des Heat Load No DOAS [W],THERMAL ZONE 3::Des Sens Cool Load No DOAS [W],THERMAL ZONE 3::Des Latent Heat Load No DOAS [W],THERMAL ZONE 3::Des Latent Cool Load No DOAS [W],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 3:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 3:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4::Des Latent Heat Load [W],THERMAL ZONE 4::Des Latent Cool Load [W],THERMAL ZONE 4::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 4::Des Heat Load No DOAS [W],THERMAL ZONE 4::Des Sens Cool Load No DOAS [W],THERMAL ZONE 4::Des Latent Heat Load No DOAS [W],THERMAL ZONE 4::Des Latent Cool Load No DOAS [W],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 4:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],THERMAL ZONE 4:BEIJING ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5::Des Latent Heat Load [W],THERMAL ZONE 5::Des Latent Cool Load [W],THERMAL ZONE 5::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 5::Des Heat Load No DOAS [W],THERMAL ZONE 5::Des Sens Cool Load No DOAS [W],THERMAL ZONE 5::Des Latent Heat Load No DOAS [W],THERMAL ZONE 5::Des Latent Cool Load No DOAS [W],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],THERMAL ZONE 5:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],THERMAL ZONE 5:BEIJING ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%]
01:00:00,4.058123E+03,3.411132E+03,3.057768E-01,1.673055E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698503E+01,5.537527E+01,1.799763E+01,6.688327E+01,6.887768E+03,4.390938E+03,4.498749E-01,2.153100E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698555E+01,5.585224E+01,1.799811E+01,6.694218E+01,2.397264E+03,2.335625E+03,2.134559E-01,5.726697E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698637E+01,5.808048E+01,1.799600E+01,6.728192E+01,1.675197E+03,9.111506E+02,1.823125E-01,1.324980E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698902E+01,5.758069E+01,1.806414E+01,6.581227E+01,1.279835E+03,8.110256E+02,1.393249E-01,1.448093E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699160E+01,5.846197E+01,1.805251E+01,6.580536E+01
02:00:00,4.058573E+03,3.306137E+03,3.058094E-01,1.621328E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698497E+01,5.537561E+01,1.799791E+01,6.687856E+01,6.888465E+03,4.221616E+03,4.499190E-01,2.069809E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698550E+01,5.585517E+01,1.799837E+01,6.694846E+01,2.397485E+03,2.277886E+03,2.134741E-01,5.584539E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698630E+01,5.808540E+01,1.799643E+01,6.727382E+01,1.675382E+03,8.641472E+02,1.823316E-01,1.273082E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698897E+01,5.758477E+01,1.806297E+01,6.581800E+01,1.279994E+03,7.715398E+02,1.393417E-01,1.392620E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699156E+01,5.846175E+01,1.805172E+01,6.580786E+01
03:00:00,4.058963E+03,3.225946E+03,3.058384E-01,1.581830E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698495E+01,5.538257E+01,1.799813E+01,6.689944E+01,6.889058E+03,4.090231E+03,4.499574E-01,2.005208E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698549E+01,5.586130E+01,1.799855E+01,6.697942E+01,2.397675E+03,2.234314E+03,2.134905E-01,5.477308E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698627E+01,5.808738E+01,1.799672E+01,6.729560E+01,1.675542E+03,8.279647E+02,1.823486E-01,1.237094E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698895E+01,5.758835E+01,1.806181E+01,6.582174E+01,1.280130E+03,7.412656E+02,1.393563E-01,1.353737E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699155E+01,5.846723E+01,1.805093E+01,6.581048E+01
04:00:00,4.059310E+03,3.154236E+03,3.058645E-01,1.546545E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698495E+01,5.538411E+01,1.799829E+01,6.692363E+01,6.889574E+03,3.972582E+03,4.499912E-01,1.947411E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698549E+01,5.586214E+01,1.799868E+01,6.701299E+01,2.397841E+03,2.195808E+03,2.135051E-01,5.382649E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698626E+01,5.808747E+01,1.799692E+01,6.732193E+01,1.675683E+03,7.955620E+02,1.823639E-01,1.206202E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698894E+01,5.758875E+01,1.806066E+01,6.582530E+01,1.280251E+03,7.144459E+02,1.393694E-01,1.320823E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699155E+01,5.846861E+01,1.805015E+01,6.581303E+01
05:00:00,4.059623E+03,3.095251E+03,3.058881E-01,1.517538E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698495E+01,5.538397E+01,1.799840E+01,6.694544E+01,6.890032E+03,3.873050E+03,4.500211E-01,1.898542E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698550E+01,5.586198E+01,1.799876E+01,6.704394E+01,2.397988E+03,2.164944E+03,2.135182E-01,5.306833E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698626E+01,5.808780E+01,1.799704E+01,6.734529E+01,1.675809E+03,7.683137E+02,1.823776E-01,1.182940E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698894E+01,5.758897E+01,1.805952E+01,6.582830E+01,1.280358E+03,6.916587E+02,1.393811E-01,1.295171E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699155E+01,5.846856E+01,1.804937E+01,6.581520E+01
06:00:00,4.059908E+03,3.085043E+03,3.059096E-01,1.512474E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698495E+01,5.538444E+01,1.799848E+01,6.696413E+01,6.890445E+03,3.854425E+03,4.500481E-01,1.889364E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698550E+01,5.586245E+01,1.799881E+01,6.707155E+01,2.398122E+03,2.166876E+03,2.135300E-01,5.311476E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698626E+01,5.808828E+01,1.799711E+01,6.736462E+01,1.675923E+03,7.593168E+02,1.823900E-01,1.190813E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698894E+01,5.758953E+01,1.805841E+01,6.583200E+01,1.280455E+03,6.829106E+02,1.393917E-01,1.298002E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699155E+01,5.846893E+01,1.804861E+01,6.581788E+01
07:00:00,2.420597E+03,5.296845E+03,1.823893E-01,2.596769E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698495E+01,5.538517E+01,1.799853E+01,6.696771E+01,4.611101E+03,7.053886E+03,3.011731E-01,3.457635E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698550E+01,5.586307E+01,1.799883E+01,6.707765E+01,1.591027E+03,3.036711E+03,1.416659E-01,7.443578E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698626E+01,5.808869E+01,1.799713E+01,6.736407E+01,9.370985E+02,1.742526E+03,1.019840E-01,3.058606E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698894E+01,5.759009E+01,1.805733E+01,6.583864E+01,7.839563E+02,9.496529E+02,8.534227E-02,1.937837E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699155E+01,5.846953E+01,1.804786E+01,6.582269E+01
08:00:00,2.420180E+03,5.737128E+03,1.824132E-01,2.812860E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698890E+01,5.901026E+01,1.799836E+01,6.741678E+01,4.610748E+03,7.999862E+03,3.012119E-01,3.921736E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698858E+01,5.995142E+01,1.799862E+01,6.746572E+01,1.590934E+03,3.455326E+03,1.416892E-01,8.470426E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.698872E+01,6.175354E+01,1.799678E+01,6.797952E+01,9.369969E+02,1.919340E+03,1.020075E-01,3.401105E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699199E+01,6.061019E+01,1.805692E+01,6.575994E+01,7.838970E+02,1.109557E+03,8.535603E-02,2.302416E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699368E+01,6.123304E+01,1.804738E+01,6.576707E+01
09:00:00,2.419828E+03,6.050602E+03,1.824352E-01,2.967024E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699236E+01,6.113880E+01,1.799804E+01,6.733706E+01,4.610047E+03,8.731094E+03,3.012445E-01,4.280897E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699248E+01,6.202201E+01,1.799830E+01,6.731589E+01,1.590747E+03,3.839674E+03,1.417221E-01,9.414359E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699256E+01,6.309059E+01,1.799605E+01,6.779828E+01,9.368996E+02,2.037783E+03,1.020262E-01,3.642428E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699458E+01,6.213004E+01,1.805650E+01,6.575783E+01,7.838176E+02,1.216144E+03,8.536665E-02,2.557304E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699571E+01,6.281752E+01,1.804693E+01,6.576642E+01
10:00:00,2.419355E+03,6.236894E+03,1.824320E-01,3.058737E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699468E+01,6.132111E+01,1.799781E+01,6.724964E+01,4.609144E+03,9.082196E+03,3.012363E-01,4.453523E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699501E+01,6.203203E+01,1.799809E+01,6.718633E+01,1.590543E+03,4.052924E+03,1.417348E-01,9.938316E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699496E+01,6.290391E+01,1.799561E+01,6.758791E+01,9.367329E+02,2.098755E+03,1.020261E-01,3.781161E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699617E+01,6.213214E+01,1.805610E+01,6.575877E+01,7.836763E+02,1.270751E+03,8.536434E-02,2.701765E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.699709E+01,6.293179E+01,1.804650E+01,6.576830E+01
